tradedate,Client ,turnover,brokerage,IBT 10
,TB14398,2501517.3,,184.25
,TB14407,630070,,40
,TB14433,4600,,20
,TB14440,4109000,,80
,TB14458,27,,0
,TB14463,4990895,,280
,TB14465,165771.5,,15.98
,TB14468,152400,,15.25
,TB14476,22055,,0.72
,TB14479,763985,,76.39
,TB14491,413700,,40
,TB14517,6552.8,,0.66
,TB14520,148553.8,,52.22
,TB14573,206090.45,,20.61
,TB14577,13181.75,,1.31
,TB14584,63045.5,,6.31
,TB14585,46318,,120
,TB14595,11330.75,,40
,TB14602,105580,,9.69
,TB14606,35575,,3.56
,TB14620,51300,,5.13
,TB14624,215565,,21.55
,TB14631,29994.6,,3
,TB14658,57608,,3.84
,TB14662,680910.45,,68.09
,TB14665,1985.9,,0
,TB14671,4920,,20
,TB14682,899692.25,,89.98
,TB15623,23051,,0.53
,TB15813,6047425,,160
,TB15870,21820.5,,2.18
,TB15886,24788,,2.48
,TB16670,558987.5,,140
,TB16691,8662.5,,0.87
,TB18901,14896.5,,1.49
,TB19963,4247.7,,0.42
,TB21198,539495.75,,42.82
,TB22848,1156616.25,,119.23
,TB22898,49870.4,,4.59
,TB23049,9250,,0
,TB24564,16068.75,,1.56
,TB25653,1600200,,80
,TB25999,11177.5,,40
,TB26090,239410,,23.94
,TB26431,64400,,6.44
,TB27251,922170,,89.54
,TB27803,4500,,0
,TB29084,185813.4,,18.6
,TB29545,17435.25,,1.75
,TB30886,7015.5,,0.62
,TB30941,385840,,38.59
,TB31493,21883,,1.29
,TB31751,1240,,20
,TB32066,1598378.05,,156.25
,TB32073,25400,,0
,TB32277,3400,,20
,TB32329,28425,,2.84
,TB33333,100106.4,,10.01
,TB33386,5953970,,120
,TB33862,43112.5,,24.06
,TB36143,3761,,0
,TB36315,51709.5,,80
,TB37148,59970,,6
,TB37763,519525,,51.96
,TB37934,90345,,9.04
,TB38260,2340825,,60
,TB38760,578052.2,,441.08
,TB40080,9823,,0.18
,TB40244,1044996,,104.5
,TB41155,131780.65,,13.18
,TB41720,129529.25,,32.71
,TB42264,4576269.85,,111.31
,TB42595,13847,,1.3
,TB44800,174055,,17.41
,TB44837,190142.4,,19.01
,TB45261,10437.5,,1.04
,TB46368,5542.5,,0.56
,TB46834,1428685.5,,58.95
,TB47113,599550,,40
,TB47178,3314030,,120
,TB48594,161819,,16.18
,TB49685,58175.4,,5.84
,TB51443,154.3,,0
,TB51536,9167,,0
,TB53632,42855,,4.29
,TB54195,27631,,0
,TB55512,174800,,17.48
,TB56200,478110,,47.81
,TB56845,19460.5,,1.95
,TB58392,91392.7,,9.13
,TB58884,35867.25,,3.56
,TB59308,12915,,1.29
,TB59626,5939402.5,,140
,TB59957,320446.15,,32.05
,TB60485,10195.5,,1.02
,TB61683,85771.35,,8.58
,TB62433,7012.5,,20
,TB62727,399905,,39.9
,TB62946,1445,,0
,TB64995,17370,,0
,TB65391,229253.3,,22.92
,TB65682,118186.85,,11.82
,TB67922,216562,,19.77
,TB68291,16399.95,,1.64
,TB68489,2242977.2,,209.2
,TB68536,6054,,0.61
,TB69119,1475.4,,0.15
,TB69151,143015,,14.31
,TB70588,2247.05,,0.1
,TB70859,5107.5,,40
,TB71825,1047184.6,,103.12
,TB72621,57660.9,,0
,TB72869,29050,,80
,TB73108,4244,,20
