AccountCode,COCD1,MONTHNAME,VoucherDate,TradeDate,Vr No.,Narration,Ledger,BRS,Chq No,Debit,Credit,Running Bal.
TB21117,ALL,Jan-19,1/21/2019,1/21/2019,BR21071946,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,397364,,2000,2000
TB21198,ALL,Jan-19,1/21/2019,1/21/2019,BR13271914,NSE_CASH BEING FUND REC THRG ATOM TB211,HDFC3304,Y,205109,,100000,100000
TB21281,ALL,Jan-19,1/21/2019,1/21/2019,BP22349649,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,293,21969.99,,-21969.99
TB21281,ALL,Jan-19,1/21/2019,1/21/2019,BR08672013,NSE_CASH BEING FUND REC THROUGH ATOMMIC,HDFC3304,Y,277374,,81000,59030.01
TB21908,ALL,Jan-19,1/21/2019,1/21/2019,BR13271915,NSE_CASH BEING FUND REC THRG ATOM TB219,HDFC3304,Y,219829,,2500,2500
TB22393,ALL,Jan-19,1/21/2019,1/21/2019,BP22349648,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999109,944.43,,-944.43
TB23799,ALL,Jan-19,1/21/2019,1/21/2019,BP22349647,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999241,1000,,-1000
TB24051,ALL,Jan-19,1/21/2019,1/21/2019,BR13271916,NSE_CASH BEING FUND REC THRG ATOM TB240,HDFC3304,Y,204934,,1000,1000
TB25348,ALL,Jan-19,1/21/2019,1/21/2019,BR13271917,NSE_CASH BEING FUND REC THRG ATOM TB253,HDFC3304,Y,248397,,40000,40000
TB25671,ALL,Jan-19,1/21/2019,1/21/2019,BR06571702,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,227115,,4000,4000
TB26270,ALL,Jan-19,1/21/2019,1/21/2019,BP22349646,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999133,1010,,-1010
TB26363,ALL,Jan-19,1/21/2019,1/21/2019,BR16672021,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,627541,,6500,6500
TB26363,ALL,Jan-19,1/21/2019,1/21/2019,BR21471763,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,161053,,2500,9000
TB28376,ALL,Jan-19,1/21/2019,1/21/2019,BR13128365,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,676338,,20000,20000
TB28392,ALL,Jan-19,1/21/2019,1/21/2019,BR13271918,NSE_CASH BEING FUND REC THRG ATOM TB283,HDFC3304,Y,221931,,13000,13000
TB28392,ALL,Jan-19,1/21/2019,1/21/2019,BR13271919,NSE_CASH BEING FUND REC THRG ATOM TB283,HDFC3304,Y,196133,,1500,14500
TB31035,ALL,Jan-19,1/21/2019,1/21/2019,BR13271920,NSE_CASH BEING FUND REC THRG ATOM TB310,HDFC3304,Y,209525,,5000,5000
TB31360,ALL,Jan-19,1/21/2019,1/21/2019,BR06571981,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,458635,,200000,200000
TB31774,ALL,Jan-19,1/21/2019,1/21/2019,BP22349645,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,759,17800,,-17800
TB32058,ALL,Jan-19,1/21/2019,1/21/2019,BR13271921,NSE_CASH BEING FUND REC THRG ATOM TB320,HDFC3304,Y,194152,,6800,6800
TB32370,ALL,Jan-19,1/21/2019,1/21/2019,BR16771796,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,316695,,1000,1000
TB33185,ALL,Jan-19,1/21/2019,1/21/2019,BR38928353,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,240907,,4000,4000
TB33633,ALL,Jan-19,1/21/2019,1/21/2019,BR11171750,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,435678,,5000,5000
TB33683,ALL,Jan-19,1/21/2019,1/21/2019,BR05671727,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,545436,,10000,10000
TB35340,ALL,Jan-19,1/21/2019,1/21/2019,BP22349644,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999559,4997.64,,-4997.64
TB37039,ALL,Jan-19,1/21/2019,1/21/2019,BR09571732,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,924875,,3000,3000
